GroupId,GroupName,VpcId,Description,OwnerId,InboundRulesCount,OutboundRulesCount,Tags
sg-0a9e26197afe46f29,launch-wizard-1,vpc-047c77e17aaf07b1c,launch-wizard-1 created 2024-02-12T08:21:02.644Z,767398018345,1,1,
sg-0ddb3a097b95b00ca,default,vpc-047c77e17aaf07b1c,default VPC security group,767398018345,1,1,
